Ind.ID,Survey.Date,Project,Species,Sex,Bd.presence
3265127,5/12/16,WY,A.boreas,male,NA
3265127,5/17/15,WY,A.boreas,male,negative
3265127,5/19/14,WY,A.boreas,male,negative
3265127,5/25/16,WY,A.boreas,male,negative
3269543,5/15/13,WY,A.boreas,male,negative
3271049,6/10/13,WY,A.boreas,female,negative
3272112,5/19/14,WY,A.boreas,male,negative
3272520,5/19/14,WY,A.boreas,male,negative
3276635,5/15/14,WY,A.boreas,female,NA
3276635,5/19/14,WY,A.boreas,female,negative
3277863,5/15/13,WY,A.boreas,male,negative
3278288,6/3/14,WY,A.boreas,male,NA
3281108,5/15/13,WY,A.boreas,male,negative
3282639,5/15/14,WY,A.boreas,male,negative
3284308,5/15/13,WY,A.boreas,male,negative
3284320,5/15/13,WY,A.boreas,male,negative
3284320,5/22/13,WY,A.boreas,male,negative
3285046,5/10/15,WY,A.boreas,male,negative
3285046,5/15/14,WY,A.boreas,male,NA
3285046,5/17/15,WY,A.boreas,male,negative
3285046,5/20/15,WY,A.boreas,male,negative
3285126,5/12/16,WY,A.boreas,male,NA
3285126,5/17/15,WY,A.boreas,male,negative
3285126,5/19/14,WY,A.boreas,male,negative
3285126,5/20/15,WY,A.boreas,male,negative
3285126,5/23/16,WY,A.boreas,male,negative
3285126,5/25/16,WY,A.boreas,male,negative
3288786,5/15/13,WY,A.boreas,male,NA
3289270,5/19/14,WY,A.boreas,male,negative
3289270,5/27/14,WY,A.boreas,male,negative
3290005,5/15/14,WY,A.boreas,male,negative
3290005,5/27/14,WY,A.boreas,male,negative
3290005,5/5/14,WY,A.boreas,male,NA
3290005,6/2/14,WY,A.boreas,male,negative
3291114,6/10/13,WY,A.boreas,male,negative
3292618,5/22/14,WY,A.boreas,male,NA
3293550,5/17/15,WY,A.boreas,male,negative
3293550,5/20/15,WY,A.boreas,male,negative
3295839,5/15/14,WY,A.boreas,male,NA
3297057,5/19/14,WY,A.boreas,male,negative
3297057,5/27/14,WY,A.boreas,male,negative
3297089,5/15/13,WY,A.boreas,male,negative
3297599,5/20/13,WY,A.boreas,male,negative
3297599,5/22/13,WY,A.boreas,male,negative
3298288,5/12/16,WY,A.boreas,male,negative
3298288,5/15/13,WY,A.boreas,male,negative
3298288,5/15/14,WY,A.boreas,male,negative
3298288,5/22/13,WY,A.boreas,male,negative
3298288,5/27/14,WY,A.boreas,male,negative
3298790,5/12/16,WY,A.boreas,male,negative
3298790,5/15/13,WY,A.boreas,male,negative
3298790,5/17/15,WY,A.boreas,male,negative
3298790,5/19/14,WY,A.boreas,male,negative
3298790,5/23/13,WY,A.boreas,male,negative
3299055,5/10/15,WY,A.boreas,male,negative
3299055,5/15/13,WY,A.boreas,male,negative
3299055,5/15/14,WY,A.boreas,male,NA
3299055,5/19/14,WY,A.boreas,male,negative
3299055,5/20/15,WY,A.boreas,male,negative
3299055,5/23/13,WY,A.boreas,male,negative
3299055,5/27/14,WY,A.boreas,male,negative
3299055,5/8/15,WY,A.boreas,male,negative
3299055,6/2/14,WY,A.boreas,male,negative
3301352,5/10/15,WY,A.boreas,male,negative
3301352,5/15/14,WY,A.boreas,male,NA
3301352,5/19/14,WY,A.boreas,male,negative
3302338,5/20/15,WY,A.boreas,male,negative
3302779,5/19/14,WY,A.boreas,male,negative
3303801,5/15/14,WY,A.boreas,male,negative
3303801,5/19/14,WY,A.boreas,male,negative
3303801,5/27/14,WY,A.boreas,male,negative
3303801,6/2/14,WY,A.boreas,male,negative
20833871,9/18/08,CA,Rana draytonii,Male,Negative
20836063,8/24/09,CA,Rana draytonii,Female,Positive
20836382,9/17/10,CA,Rana muscosa,Male,Negative
20836382,7/7/09,CA,Rana muscosa,Male,Negative
20836382,6/5/12,CA,Rana muscosa,Male,Negative
20839859,5/27/09,CA,Rana muscosa,Male,Positive
20840539,8/24/09,CA,Rana draytonii,Male,Negative
20840567,5/27/09,CA,Rana muscosa,Female,Negative
20841578,8/15/14,CA,Rana muscosa,Female,Negative
20841578,5/21/09,CA,Rana muscosa,Female,Negative
20841578,8/25/11,CA,Rana muscosa,Female,Negative
20845778,9/18/08,CA,Rana draytonii,Male,Positive
20847007,9/17/08,CA,Rana draytonii,Male,Positive
20850106,8/18/10,CA,Rana draytonii,Female,Negative
20851878,9/18/08,CA,Rana draytonii,Male,Positive
20852072,5/22/09,CA,Rana muscosa,Female,Negative
20852340,9/17/08,CA,Rana draytonii,Male,Negative
20854016,6/23/10,CA,Rana muscosa,Female,Negative
20854316,5/21/09,CA,Rana muscosa,Male,Negative
20854316,7/12/16,CA,Rana muscosa,Male,Negative
20854316,7/12/16,CA,Rana muscosa,Male,Negative
20855032,8/16/10,CA,Rana draytonii,Male,Negative
20855032,9/18/08,CA,Rana draytonii,Male,Negative
20856329,6/23/10,CA,Rana muscosa,Male,Negative
20856329,5/21/09,CA,Rana muscosa,Male,Negative
20864109,9/17/08,CA,Rana draytonii,Male,Positive
20866026,5/21/09,CA,Rana muscosa,Male,Negative
20869565,5/4/09,CA,Rana muscosa,Female,Negative
20874262,7/1/09,CA,Rana draytonii,Female,Negative
20874369,5/21/09,CA,Rana muscosa,Male,Negative
20874369,7/17/12,CA,Rana muscosa,Male,Negative
20874369,6/4/12,CA,Rana muscosa,Male,Negative
20874545,5/12/09,CA,Rana muscosa,Female,Negative
20874570,5/1/09,CA,Rana muscosa,Female,Negative
20879785,6/23/10,CA,Rana muscosa,Male,Negative
20881016,8/18/10,CA,Rana draytonii,Male,Negative
20881016,9/18/08,CA,Rana draytonii,Male,Positive
20881364,7/7/09,CA,Rana muscosa,Female,Positive
20881364,5/22/09,CA,Rana muscosa,Female,Negative
20882537,8/24/09,CA,Rana draytonii,Female,Positive
